"cut","clarity","table","x","z"
"Premium","VVS2",58,4.8,2.91
"Ideal","VVS2",55,4.73,2.97
"Ideal","VVS2",56,4.76,2.94
"Ideal","VVS2",56,4.72,2.96
"Ideal","VS1",55,4.85,2.94
"Ideal","VVS1",57,4.78,2.96
"Fair","I1",59,5.64,3.6
"Very Good","SI1",57,4.99,3.13
"Ideal","VVS1",56,4.53,2.81
"Premium","VVS1",59,4.58,2.77
"Ideal","IF",55,4.59,2.81
"Premium","IF",58,4.52,2.79
"Premium","VS2",59,5.03,3.06
"Ideal","VVS2",57,4.69,2.87
"Premium","VS2",62,4.63,2.84
"Ideal","VS1",57,4.73,2.85
"Very Good","VVS1",59,4.66,2.76
"Ideal","SI1",58,5.27,3.27
"Very Good","SI2",56,5.12,3.23
"Good","IF",62,4.75,2.85
"Ideal","SI2",57,5.3,3.3
"Premium","SI2",60,5.29,3.11
"Very Good","SI1",56,5.03,3.21
"Ideal","SI1",57,5.1,3.18
"Fair","VS2",69,5.07,3.14
"Ideal","VS1",56,4.79,2.88
"Ideal","VVS1",57,4.74,2.97
"Very Good","VS1",56,4.67,2.95
"Ideal","VVS1",57,4.75,2.93
"Ideal","VVS1",55,4.8,2.93
"Ideal","VVS1",57,4.87,2.99
"Ideal","VVS1",55,4.69,2.9
"Ideal","VS2",56,4.63,2.84
"Good","SI1",61,5.02,3.19
"Ideal","SI2",54,5.4,3.37
"Ideal","VVS2",55,4.36,2.67
"Premium","VVS2",60,4.79,2.89
"Ideal","SI2",57,4.47,2.74
"Very Good","SI2",56,4.43,2.7
"Ideal","VS2",55,3.93,2.43
"Ideal","SI1",55,4.38,2.72
"Ideal","VVS1",54,4.41,2.75
"Ideal","VS2",55,4.51,2.77
"Very Good","VS1",57,4.2,2.62
"Very Good","VVS2",55,4.73,2.98
"Ideal","VS1",56,4.7,2.94
"Premium","VS1",59,4.8,2.88
"Ideal","VS1",57,4.77,2.91
"Premium","VS1",58,4.82,2.9
"Ideal","VS1",56,4.73,2.94
"Premium","VS1",55,4.76,2.93
"Ideal","VS2",57,4.8,2.89
"Ideal","IF",56,4.84,2.99
"Good","VS1",58.8,4.79,3.09
"Very Good","SI1",63,5.06,3.12
"Good","VS2",65,5.07,3.12
"Premium","VVS2",59,4.68,2.88
"Ideal","VVS1",54,4.7,2.9
"Premium","IF",58,4.88,2.97
"Premium","VVS2",60,4.85,3
"Premium","VS1",57,4.89,2.97
"Ideal","VS2",57,4.91,2.97
"Premium","IF",59,4.27,2.66
"Ideal","VVS1",55,4.44,2.74
"Premium","VVS1",61,4.86,2.89
"Good","SI1",65,5.31,3.13
"Ideal","VS1",55,4.58,2.83
"Good","SI1",55,5.12,3.27
"Ideal","VS1",56,4.82,2.99
"Ideal","SI2",57,5.25,3.16
"Very Good","SI1",58,5.19,3.09
"Ideal","VVS1",57,4.49,2.78
"Ideal","SI2",54,5.23,3.24
"Premium","IF",59,4.39,2.67
"Ideal","SI1",55,5.3,3.26
"Good","SI1",64,5.63,3.36
"Fair","I1",59,5.58,3.61
"Good","I1",60,5.64,3.54
"Ideal","IF",56,4.79,2.93
"Ideal","SI1",56,4.83,2.98
"Good","SI1",54,5.21,3.31
"Fair","I1",59,5.5,3.58
"Premium","I1",56,5.8,3.52
"Ideal","SI2",56,5.18,3.17
"Fair","I1",57,5.79,3.73
"Ideal","SI1",57,5.07,3.16
"Ideal","SI1",56,5.08,3.16
"Ideal","VVS1",57,4.45,2.73
"Ideal","VS1",57,4.66,2.89
"Premium","VS1",60,4.66,2.87
"Premium","VS1",60,5.17,3.07
"Good","SI2",54,5.16,3.27
"Good","SI2",54,5.39,3.5
"Very Good","VVS1",56,4.68,3
"Ideal","VVS2",57,4.82,2.93
"Ideal","VVS2",56,4.83,2.98
"Premium","VVS1",58,4.82,2.98
"Very Good","VVS1",55,4.7,2.99
"Premium","VS2",58,5.22,3.25
"Good","VS1",62.5,5.05,2.91
"Ideal","VVS2",56,4.74,2.93
"Premium","VVS2",60,4.64,2.82
"Ideal","SI2",57,5.14,3.19
"Good","SI1",61,5.01,3.21
"Fair","I1",57,5.65,3.65
"Ideal","VVS1",57,4.68,2.89
"Premium","IF",59,4.6,2.79
"Very Good","SI1",58,5.46,3.33
"Ideal","SI2",56,5.19,3.19
"Ideal","VS1",54,4.8,2.95
"Ideal","VS1",57,4.78,2.93
"Very Good","VVS1",60,4.74,2.87
"Ideal","VS1",56,4.77,2.97
"Ideal","SI2",55,5.35,3.3
"Ideal","VVS2",56,4.8,2.93
"Ideal","VS2",54,5.17,3.23
"Ideal","SI2",59,5.24,3.18
"Premium","VS1",61,4.85,2.88
"Ideal","VS1",57,4.82,2.95
"Fair","SI1",58,4.3,2.69
"Ideal","VS1",57,4.2,2.6
"Ideal","I1",57,4.61,2.89
"Very Good","VVS2",58,3.96,2.42
"Ideal","VS2",55,3.93,2.43
"Ideal","SI1",56,4.43,2.74
"Very Good","VVS2",56,4.44,2.76
"Very Good","VS1",56,4.14,2.51
"Ideal","VS1",57,4.8,2.95
"Premium","VS1",58,4.78,2.92
"Ideal","VS1",55,4.78,2.96
"Premium","VS1",60,4.78,2.95
"Premium","VS1",58,4.75,2.93
"Very Good","VVS1",59,4.75,3.01
"Very Good","SI2",57,5.03,3.15
"Ideal","SI1",56,5.19,3.25
"Very Good","SI2",58,5.09,3.13
"Ideal","VVS1",56,4.67,2.88
"Ideal","SI1",57,5.22,3.13
"Ideal","VVS2",56,4.94,3.04
"Premium","VS1",61,4.88,2.97
"Premium","SI1",60,5.16,3.19
"Premium","SI1",58,5.06,3.14
"Premium","SI1",59,5.09,3.1
"Fair","SI2",67,5.07,3.09
"Good","SI2",59,5,3.18
"Ideal","VVS2",56,4.74,2.93
"Ideal","VVS2",55,4.74,2.93
"Ideal","VVS2",56,4.7,2.93
"Fair","I1",57,5.64,3.67
"Premium","SI2",62,5.47,3.32
"Very Good","SI2",56,5.43,3.29
"Ideal","VVS1",57,4.71,2.87
"Very Good","VVS1",54,4.75,2.97
"Ideal","SI2",55,5.45,3.42
"Ideal","VVS2",55,4.62,2.85
"Ideal","IF",56,4.47,2.78
"Good","SI2",56,5.14,3.27
"Ideal","VS2",56,5.15,3.22
"Ideal","SI1",56,5,3.05
"Ideal","VVS2",56,4.74,2.95
"Ideal","VVS2",57,4.73,2.95
"Premium","SI1",61,5.2,3.11
"Ideal","VS2",57,5.21,3.25
"Ideal","VVS2",59,4.7,2.94
"Fair","VS1",61,4.81,3.21
"Very Good","VVS2",56,4.9,2.94
"Ideal","VVS1",57,4.52,2.79
"Good","I1",57.1,5.37,3.42
"Ideal","VVS1",55,4.75,2.95
"Ideal","IF",57,4.35,2.67
"Very Good","VVS1",54,4.71,3.01
"Ideal","VVS2",56,4.82,3
"Good","VVS1",61,4.76,2.89
"Very Good","SI1",55,5.03,3.17
"Ideal","SI1",59,5.29,3.18
"Ideal","IF",55,4.41,2.75
"Ideal","VS1",57,4.71,2.91
"Premium","VVS1",59,4.75,2.86
"Very Good","SI1",63,5.08,3.1
"Very Good","VS2",56,4.98,3.06
"Good","SI1",55,5.07,3.24
"Premium","SI2",61,5.14,3.14
"Very Good","IF",58,4.69,2.91
"Ideal","VVS1",57,4.6,2.88
"Ideal","SI2",56,5.24,3.21
"Very Good","SI1",60,5.14,3.03
"Ideal","VVS1",56,4.5,2.76
"Very Good","SI1",56,5.22,3.25
"Ideal","SI2",56,5.23,3.22
"Ideal","SI1",54,5.17,3.19
"Very Good","VS2",58,5.08,3.15
"Ideal","VVS1",55,4.52,2.74
"Ideal","VVS2",55,4.66,2.86
"Premium","SI1",58,5.31,3.27
"Ideal","VVS2",57,4.62,2.86
"Ideal","IF",54,4.9,3.05
"Very Good","VS2",60,5.18,2.97
"Ideal","IF",55,4.99,3.11
"Very Good","VS1",59.7,4.94,3.05
"Premium","VVS1",59,4.82,2.91
"Premium","VVS1",58,4.85,2.91
"Ideal","VVS1",55,4.78,2.97
"Ideal","SI1",54.2,4.31,2.69
"Ideal","SI1",57,4.27,2.67
"Ideal","SI1",58,4.29,2.65
"Good","VS1",57,4.04,2.56
"Very Good","VVS2",56,4.03,2.51
"Premium","VVS2",61,4.04,2.38
"Good","SI1",57,4.24,2.7
"Ideal","VS1",57,4.81,2.95
"Ideal","VVS1",56,4.82,2.96
"Very Good","VS1",59,4.85,3
"Good","VS1",61.4,4.95,2.96
"Very Good","SI2",61.9,5.19,3.04
"Ideal","VS1",55,4.8,2.96
"Good","SI2",57,5.3,3.37
"Premium","VVS2",58,4.8,2.98
"Ideal","SI2",55,5.08,3.18
"Ideal","VVS2",57,4.94,3.04
"Premium","VS1",55,4.85,3
"Premium","SI2",59,5.07,3.12
"Good","VS1",62,5.09,3.06
"Ideal","VVS1",58,4.72,2.88
"Very Good","VVS1",62,4.76,2.92
"Ideal","VVS2",55,4.79,2.97
"Good","SI1",57,5.01,3.22
"Premium","SI2",60,5.33,3.12
"Very Good","SI1",57,5.04,3.24
"Ideal","VVS2",56,4.8,2.95
"Ideal","IF",56,4.74,2.95
"Very Good","VVS2",54,4.72,2.98
"Ideal","VVS2",56,4.75,2.91
"Ideal","VVS2",57,4.76,2.93
"Ideal","SI2",56,5.13,3.19
"Very Good","I1",59,5.03,3.17
"Ideal","IF",53.7,4.67,2.91
"Very Good","SI1",59,5.11,3.08
"Ideal","SI2",56,5.13,3.13
"Ideal","SI2",55,5.19,3.14
"Premium","VVS2",58,4.83,2.89
"Premium","VVS2",58,4.84,2.91
"Ideal","VVS2",56,4.8,2.93
"Ideal","VVS2",56,4.81,2.96
"Premium","VVS2",58,4.76,2.95
"Ideal","VVS2",57,4.8,2.94
"Premium","SI1",60,5.26,3.18
"Ideal","IF",56,4.68,2.86
"Very Good","IF",57,4.91,3.01
"Ideal","SI2",54,5.4,3.35
"Premium","SI2",60,5.24,3.07
"Ideal","VVS2",55,4.92,3.01
"Ideal","VVS1",55,4.79,2.96
"Premium","SI2",57,5.43,3.34
"Premium","SI2",59,5.19,3.18
"Ideal","IF",56,4.51,2.81
"Very Good","SI1",63,5.06,3.05
"Very Good","SI1",61,5.01,3.16
"Ideal","SI1",56,5.26,3.26
"Ideal","VS2",56,4.71,2.9
"Good","VS2",61,4.81,3.04
"Ideal","IF",56,4.74,2.91
"Ideal","VVS2",57,4.63,2.86
"Very Good","SI2",56,5.08,3.21
"Premium","VVS1",58,4.63,2.86
"Premium","VVS1",58,4.74,2.9
"Ideal","VVS1",56,4.79,2.92
"Premium","VS1",59,4.81,2.84
"Ideal","VS1",56,4.71,2.95
"Very Good","SI1",56,5.13,3.12
"Ideal","SI2",57,5.33,3.36
"Good","SI2",55,5.1,3.25
"Ideal","IF",56,4.4,2.73
"Ideal","VVS1",57,4.79,2.95
"Premium","SI2",57,5.13,3.17
"Premium","SI1",62,5.15,3.19
"Ideal","VVS1",56,4.77,2.92
"Ideal","VVS1",56,4.85,2.99
"Premium","VVS1",58,4.87,2.95
"Very Good","VVS1",57,4.85,2.98
"Ideal","VS1",55,4.83,3.01
"Premium","VVS2",59,4.74,2.88
"Very Good","VS2",56,5.28,3.33
"Premium","IF",60,5.04,2.99
"Ideal","SI2",56,5.27,3.21
"Very Good","SI2",58,4.57,2.88
"Very Good","SI1",57,4.25,2.68
"Ideal","VS2",56,4.33,2.65
"Ideal","SI1",57,4.49,2.69
"Ideal","VS1",54.5,4.33,2.69
"Ideal","VS2",56,4.19,2.62
"Ideal","VS1",57,4.31,2.63
"Very Good","VVS2",56,4.19,2.56
"Premium","VS1",58,4.82,2.99
"Ideal","VVS2",55,4.84,2.99
"Ideal","IF",55,4.58,2.84
"Ideal","VVS1",55,4.49,2.79
"Ideal","VS1",54,4.65,2.89
"Ideal","SI1",57,5.25,3.26
"Ideal","IF",54,4.64,2.9
"Good","SI1",61,5.22,3.3
"Ideal","IF",56,4.82,2.93
"Good","SI2",54.7,5.09,3.16
"Ideal","SI1",54,5.6,3.47
"Ideal","IF",56,4.34,2.72
"Good","SI2",61,5.4,3.17
"Fair","VS2",54,4.94,3.2
"Ideal","VVS2",56,4.78,2.96
"Ideal","VS2",54,5.28,3.26
"Very Good","IF",57,4.73,2.9
"Premium","SI1",58,5.4,3.22
"Ideal","VS1",56,4.81,3.01
"Very Good","SI1",56,5.34,3.31
"Premium","SI2",58,5.16,3.17
"Very Good","SI1",57,5.03,3.19
"Good","SI1",54,5.06,3.21
"Good","SI1",56,5.04,3.23
"Ideal","SI2",57,5.5,3.28
"Premium","VVS2",59,4.86,2.89
"Ideal","VVS2",57,4.84,2.95
"Premium","VS1",58,4.99,3.07
"Ideal","SI2",57,5.21,3.18
"Ideal","SI1",56,5.2,3.18
"Very Good","VS2",57,5.31,3.24
"Very Good","VVS2",59.9,4.71,2.79
"Very Good","VS2",58.1,5.07,3.03
"Ideal","VS2",55,4.75,2.94
"Ideal","SI2",57,5.22,3.17
"Ideal","SI1",55,5.31,3.32
"Very Good","SI2",56,5.18,3.28
"Premium","SI2",59,5.15,3.13
"Ideal","VS1",55,4.84,2.99
"Good","VS1",63,5,2.97
"Premium","IF",61,4.69,2.76
"Ideal","IF",56,4.73,2.94
"Ideal","IF",55,4.74,2.96
"Good","SI2",56,5.15,3.27
"Very Good","SI1",60,5.3,3.19
"Ideal","VVS1",55,4.79,2.95
"Premium","VVS1",60,4.78,2.87
"Ideal","VS1",57,4.82,2.93
"Premium","SI1",57,5.09,3.13
"Very Good","VS2",57,5.35,3.25
"Very Good","VVS2",57,4.65,2.94
"Ideal","VS2",58,5.14,3.19
"Good","SI1",54,4.95,3.23
"Very Good","VVS2",60,4.8,2.88
"Premium","VS2",62,5.44,3.23
"Fair","VS1",64,5.44,3.01
"Very Good","SI2",56,5.4,3.25
"Premium","VVS1",59,4.9,3
"Ideal","VS1",56,4.85,3.01
"Premium","VVS1",58,4.4,2.68
"Premium","VVS1",58,4.88,2.91
"Premium","VVS1",59,4.84,2.91
"Premium","VVS1",58,4.79,2.99
"Ideal","VVS1",56,4.83,2.96
"Premium","VS1",59,4.85,2.93
"Premium","SI2",56,5.27,3.2
"Fair","SI2",61,5.33,3.43
"Ideal","VS2",55,5.16,3.21
"Very Good","SI1",56,5.05,3.18
"Premium","SI1",60,5.2,3.22
"Fair","SI1",58,5.07,3.27
"Premium","SI1",62,5.22,3.23
"Very Good","VVS1",55,4.79,3
"Ideal","SI2",55,5.43,3.37
"Premium","VS1",58,4.91,2.97
"Very Good","SI2",61,4.42,2.7
"Ideal","SI1",54,4.33,2.69
"Very Good","VS1",55,3.93,2.45
"Ideal","VS2",56,3.99,2.45
"Good","SI1",57,4.25,2.74
"Very Good","SI1",63,4.32,2.55
"Premium","VS2",58,4.35,2.7
"Very Good","VVS2",56,4.14,2.58
"Very Good","VS1",60,4.33,2.57
"Very Good","VS1",56,4.35,2.57
"Ideal","VVS1",57,4.02,2.44
"Ideal","IF",57,4,2.5
"Very Good","SI2",55,4.36,2.75
"Premium","VS2",61,4.49,2.68
"Premium","SI2",60,4.42,2.59
"Ideal","VVS2",56,4.79,2.93
"Fair","SI1",68,5.09,3.12
"Ideal","VVS2",56,4.73,2.93
"Ideal","SI2",57,5.32,3.31
"Good","VS2",65,5.21,2.94
"Ideal","IF",55,4.75,2.95
"Ideal","VVS2",56,4.74,2.95
"Ideal","VS2",56,4.73,2.95
"Ideal","IF",55,4.47,2.75
"Very Good","SI1",57,5.22,3.28
"Ideal","SI2",56,5.26,3.2
"Premium","SI2",59,5.19,3.08
"Premium","SI2",60,5.27,3.24
"Premium","VS2",59,5.16,3.08
"Premium","VVS1",62,4.78,2.92
"Good","SI1",55,5.19,3.3
"Premium","SI2",57,5.17,3.21
"Ideal","VS2",57,5.15,3.22
"Good","VS1",60.1,5.04,3.03
"Ideal","IF",56,4.5,2.78
"Ideal","IF",55,4.79,2.95
"Premium","VVS2",60,4.82,2.93
"Ideal","VVS2",55,4.83,2.96
"Ideal","VVS2",56,4.78,2.95
"Ideal","VVS2",57,4.79,2.93
"Very Good","SI1",58,5.06,3.22
"Good","SI1",56,5.07,3.23
"Very Good","SI1",61,5.28,3.1
"Ideal","SI2",55,5.34,3.32
"Very Good","VVS2",57,4.89,2.98
"Ideal","VVS1",53.2,4.62,2.9
"Good","VVS2",60.5,4.98,3.02
"Ideal","SI2",57,5.25,3.19
"Good","SI1",59,5.39,3.05
"Ideal","VVS1",57,4.55,2.79
"Premium","SI2",58,5.4,3.25
"Ideal","IF",57,4.7,2.95
"Very Good","VVS1",58,4.72,2.98
"Fair","VS2",68,5.18,2.96
"Very Good","VS1",55,4.69,2.95
"Very Good","SI1",60,5.07,3.17
"Ideal","VS1",58,4.7,2.94
"Ideal","SI2",56,5.22,3.23
"Ideal","VVS2",57,4.85,2.99
"Ideal","SI2",56,5.58,3.28
"Premium","SI1",56,5.19,3.18
"Ideal","IF",57,4.8,2.98
"Good","IF",56,4.55,2.66
"Premium","VS2",59,5.52,3.35
"Very Good","SI2",60,5.38,3.31
"Ideal","IF",56,4.52,2.81
"Good","SI1",58,5.03,3.23
"Ideal","SI1",60,5.18,3.22
"Premium","SI1",60,5.42,3.31
"Very Good","SI1",55.2,5.39,3.33
"Ideal","IF",56,4.76,2.92
"Premium","VVS2",56,4.65,2.87
"Premium","VVS1",58,4.8,2.83
"Ideal","VVS2",56,4.73,2.87
"Premium","SI1",60,5.44,3.24
"Ideal","SI2",56,5.44,3.3
"Ideal","IF",54,4.77,2.99
"Ideal","IF",56,4.79,2.96
"Good","SI1",55,5.1,3.24
"Ideal","SI1",55,5.23,3.23
"Very Good","SI1",56,5.2,3.2
"Very Good","IF",55,4.68,2.95
"Premium","VS2",57,5.21,3.07
"Very Good","SI1",55,5.32,3.33
"Good","VS1",60.9,5.12,2.97
"Premium","SI2",60,5.13,3.06
"Premium","VVS2",59,4.76,2.88
"Very Good","VVS2",54,4.75,2.96
"Very Good","VVS1",57,4.69,2.91
"Ideal","VVS1",56,4.77,2.9
"Very Good","VVS1",58,4.17,2.58
"Ideal","VS1",57,4.23,2.62
"Very Good","VVS2",57,3.91,2.48
"Very Good","VVS2",59,3.93,2.47
"Very Good","VVS2",57,3.97,2.45
"Very Good","VVS2",55,3.9,2.44
"Very Good","VVS2",58,3.92,2.47
"Premium","VVS1",59,4.74,2.86
"Premium","SI2",58,5.31,3.21
"Ideal","SI2",56,5.29,3.22
"Ideal","SI2",55,5.17,3.11
"Premium","VVS1",58,4.91,2.95
"Premium","VVS1",58,4.83,2.99
"Ideal","VVS1",56,4.87,2.99
"Ideal","VS1",55,4.86,3.01
"Very Good","SI2",60,5.24,3.34
"Ideal","SI2",53,5.12,3.2
"Very Good","VS2",58,5.3,3.34
"Ideal","VS1",57,5.11,3.12
"Very Good","VS2",55,5.33,3.32
"Very Good","SI1",60,5.23,3.12
"Ideal","VVS1",56,4.64,2.9
"Good","SI1",56,5.13,3.28
"Premium","SI1",58,5.16,3.18
"Ideal","SI1",56,5.23,3.2
"Good","SI2",56,5.09,3.24
"Premium","SI2",58,5.33,3.19
"Premium","VS2",61,5.31,3.17
"Ideal","VS2",57,5.02,3.04
"Ideal","SI1",54,5.3,3.29
"Ideal","SI1",54,5.48,3.4
"Fair","VS1",57,4.98,3.22
"Good","SI2",56,5.21,3.3
"Ideal","VVS1",57,4.51,2.77
"Very Good","SI1",58,5.37,3.26
"Ideal","SI2",55,5.26,3.26
"Ideal","VVS2",55,4.81,2.98
"Fair","I1",58,5.61,3.67
"Premium","VVS2",59,4.95,2.98
"Ideal","VVS2",57,4.9,3
"Good","SI1",57,5.06,3.22
"Ideal","SI2",55,5.38,3.32
"Ideal","IF",55,4.49,2.78
"Ideal","VVS1",57,4.79,2.92
"Fair","VS2",60,5.31,2.95
"Ideal","VS2",54,5.11,3.19
"Ideal","VS2",54,5.03,3.15
"Ideal","SI2",54,5.24,3.29
"Good","SI2",57.7,5.32,3.3
"Premium","SI1",60,5.16,3.17
"Very Good","SI1",59,5.09,3.1
"Very Good","VS1",57,5.17,3.18
"Ideal","VS1",55,5.07,3.16
"Very Good","SI1",56,5.35,3.37
"Very Good","SI1",55,5.06,3.2
"Ideal","SI1",54,5.23,3.23
"Premium","VS1",58,4.87,2.88
"Very Good","VS1",56.7,5.18,3.2
"Ideal","SI2",55,5.38,3.35
"Premium","SI1",60,5.07,3.14
"Premium","SI1",60,5.28,3.22
"Good","SI1",64,4.99,3.1
"Fair","SI1",64,5.43,3.05
"Very Good","VS2",58,5.35,3.32
"Premium","SI1",61,5.31,3.24
"Very Good","VVS2",56,5.16,3.2
"Very Good","VS2",57,5.08,3.16
"Very Good","SI2",59,5.05,3.18
"Ideal","IF",56,4.84,2.98
"Ideal","IF",53,4.83,3
"Premium","VVS1",58,4.75,2.83
"Premium","VVS2",57,4.69,2.94
"Very Good","VVS2",59,4.95,2.94
"Ideal","SI1",57,5.28,3.21
"Very Good","SI1",57,5.24,3.21
"Ideal","SI2",57,5.2,3.19
"Ideal","SI1",54,5.35,3.31
"Very Good","SI1",60,5.14,3.06
"Good","SI2",55,5.11,3.25
"Good","VS2",60.3,5.08,3
"Premium","VVS1",59,4.96,3
"Ideal","VS1",55,4.88,3.03
"Very Good","VVS2",57,3.91,2.43
"Very Good","VVS2",60,3.97,2.45
"Ideal","VVS1",55,3.94,2.46
"Ideal","SI2",58,4.62,2.81
"Good","VVS2",62,4.04,2.48
"Ideal","VS1",54,4.36,2.73
"Very Good","VS2",57,4.33,2.74
"Very Good","VS2",54,4.39,2.76
"Ideal","VS1",56,4.92,3.01
"Ideal","VVS1",57,4.75,2.96
"Ideal","VVS1",56,4.8,2.91
"Premium","VVS2",58,4.75,2.95
"Ideal","VVS2",57,4.74,2.96
"Ideal","VVS2",55,4.76,2.97
"Good","SI1",56,5.28,3.37
"Premium","VS1",59,4.96,3.01
"Ideal","VS1",57,5.19,3.26
"Very Good","I1",58,5.74,3.61
"Ideal","SI1",56,5.33,3.29
"Ideal","SI1",56,4.97,3.05
"Ideal","VVS2",57,4.72,2.86
"Very Good","VS1",59,5.1,3.2
"Premium","VS2",58,4.99,3.09
"Ideal","SI1",54,5.21,3.2
"Very Good","SI1",61,5.13,3.15
"Ideal","VS1",58,5.24,3.22
"Ideal","IF",55,4.87,3.02
"Ideal","SI2",57,5.32,3.34
"Very Good","SI2",55,5.14,3.13
"Good","VS1",60.5,5.5,3.26
"Ideal","VVS1",56,4.88,2.92
"Premium","SI1",60,5.27,3.25
"Good","SI1",58,5.05,3.22
"Ideal","SI1",55,5.15,3.24
"Very Good","VS1",58,5.18,3.17
"Good","SI1",57,5.22,3.3
"Very Good","SI1",56,5.19,3.18
"Ideal","IF",55,4.58,2.8
"Ideal","SI1",53,5.13,3.22
"Ideal","VS2",53,5.22,3.18
"Very Good","SI1",59,5.14,3.3
"Ideal","SI2",55,5.19,3.23
"Ideal","VS2",55,4.84,2.98
"Premium","VS2",55,5.35,3.28
"Ideal","SI2",57,5.23,3.18
"Good","SI1",55,5.04,3.23
"Very Good","SI1",57,5.27,3.21
"Good","SI1",57,5.03,3.19
"Good","SI1",58,4.99,3.17
"Ideal","VVS2",57,5.18,3.2
"Very Good","VS2",56,5.17,3.24
"Very Good","SI1",55,5.09,3.17
"Ideal","IF",54,4.84,3.03
"Good","IF",58,4.74,2.81
"Ideal","SI1",56,5.2,3.25
"Premium","SI2",61,5.38,3.31
"Very Good","SI1",55,5.14,3.18
"Ideal","SI1",55,5.28,3.25
"Premium","SI1",56,5.28,3.26
"Very Good","SI1",57,5.19,3.26
"Ideal","SI1",56,5.19,3.18
"Ideal","VVS2",57,4.77,2.94
"Fair","SI1",58,5,3.22
"Premium","VVS1",59,4.76,2.86
"Ideal","VVS1",56,4.79,2.9
"Ideal","VVS1",56,4.76,2.91
"Premium","VVS2",59,4.81,2.91
"Premium","VVS2",60,4.78,2.89
"Premium","SI1",58,5.19,3.18
"Fair","I1",59,5.86,3.88
"Very Good","SI1",56,5.13,3.26
"Ideal","VVS1",56,4.82,2.96
"Ideal","VVS2",57,4.77,2.99
"Very Good","VVS1",58,4.9,3.07
"Ideal","SI1",55,5.25,3.24
"Premium","VVS1",58,4.66,2.87
"Very Good","VS2",59.8,5.14,3.1
"Ideal","SI1",55,5.18,3.19
"Ideal","SI1",57,5.15,3.17
"Ideal","VVS1",56,4.58,2.78
"Very Good","SI1",55,5.06,3.18
"Ideal","SI1",57,5.05,3.15
"Good","SI1",59,5.2,3.05
"Ideal","VS2",55,4.58,2.84
"Premium","SI2",59,4.57,2.78
"Very Good","VS2",55,4.38,2.76
"Very Good","SI2",57,4.5,2.83
"Ideal","VS2",55,4.38,2.75
"Premium","VS2",59,4.35,2.7
"Very Good","VS2",57,4.37,2.73
"Good","SI1",54,5.11,3.29
"Very Good","SI1",56,5.34,3.37
"Ideal","SI2",57,5.13,3.15
"Fair","VS2",65,5.24,2.94
"Very Good","VVS1",61,4.7,2.89
"Ideal","IF",55,4.76,2.93
"Ideal","IF",55,4.64,2.89
"Ideal","VVS1",57,4.67,2.93
"Ideal","IF",57,4.73,2.9
"Premium","VVS2",59,4.99,2.98
"Fair","VS2",66,5.12,3.1
"Ideal","SI2",56,5.25,3.18
"Good","SI1",64,5.48,3.23
"Very Good","VS2",57,5.03,3.16
"Ideal","VVS2",56,4.91,3.05
"Ideal","SI1",60,5.06,3.14
"Ideal","VVS1",53.4,4.95,3.1
"Good","SI1",56,5.09,3.23
"Good","SI1",56,5.12,3.25
"Good","VS2",57,4.93,3.23
"Very Good","SI1",59,5.38,3.17
"Ideal","SI2",56,5.3,3.2
"Premium","SI1",61,5.27,3.05
"Good","VS1",65,5.63,3.45
"Ideal","SI2",56,5.3,3.33
"Very Good","SI1",62,5.16,3.16
"Ideal","SI1",55,5.09,3.19
"Ideal","SI1",55,5.13,3.18
"Good","VS2",57,5.05,3.21
"Premium","VS2",59,5.11,3.15
"Ideal","VS2",56,5.11,3.19
"Very Good","SI2",57,5.19,3.27
"Ideal","SI1",57,5.26,3.28
"Very Good","SI1",55,5.23,3.22
"Ideal","SI1",56,5.24,3.15
"Very Good","SI2",52,5.39,3.45
"Fair","VS1",68,5.02,3.14
"Very Good","VVS1",56,4.74,2.98
"Good","VVS1",61,4.71,2.92
"Very Good","VS1",58,5.24,3.15
"Good","SI1",56,5.21,3.42
"Fair","VS1",57,5.03,3.27
"Very Good","SI1",58,5.09,3.1
"Ideal","SI1",54,5.18,3.23
"Ideal","VVS2",57,4.74,2.9
"Ideal","VS1",55,4.95,3.08
"Very Good","SI1",62,5.03,3.13
"Ideal","VVS1",55,4.78,2.95
"Good","VS2",63,5.08,3.04
"Ideal","SI1",54,5.17,3.16
"Very Good","SI1",55,5.39,3.43
"Premium","VVS1",58,4.87,2.86
"Ideal","VVS1",56,4.85,2.91
"Ideal","VVS1",56,4.79,2.96
"Premium","VVS1",59,4.77,2.94
"Ideal","VVS2",57,4.76,2.96
"Ideal","VVS2",56,4.78,2.96
"Premium","SI1",61,5.31,3.15
"Ideal","VS1",56,5.19,3.18
"Ideal","VVS1",55,4.85,3.03
"Ideal","VVS1",55,4.81,3
"Premium","VS1",59,4.98,3.01
"Ideal","SI1",57,5.21,3.15
"Ideal","VS2",56,5.24,3.25
"Ideal","IF",56,4.38,2.7
"Ideal","SI2",57,5.12,3.21
"Ideal","SI1",56,5.19,3.22
"Good","VS1",58,5.12,3.25
"Very Good","SI2",58,5.33,3.37
"Premium","IF",60,4.78,2.81
"Very Good","VVS1",55.5,5.17,3.19
"Good","SI1",56,5.18,3.29
"Ideal","SI1",57,5.18,3.25
"Very Good","VVS2",55,4.79,2.95
"Good","SI1",55,5.28,3.36
"Ideal","VS2",56,4.38,2.7
"Premium","VS1",58,4.36,2.71
"Very Good","VVS2",57,4.1,2.52
